planet_name,jwst_instrument,jwst_filter,jwst_dispersion,num_obs,eap_months,pid,type
LHS 3844 b,MIRI / LRS,-,-,3,12,1846,Eclipse
LP 791-18 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,1201,Transit
LTT 1445 A b,NIRSpec / BOTS,F290LP,G395H,1,0,2512,Transit
LTT 1445 A b,MIRI / LRS,-,-,3,12,2708,Eclipse
LTT 9779 b,NIRISS / SOSS,-,GR700XD,1,12,1201,Phase Curve
NGTS-10 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,2158,Phase Curve
TOI-260 b,NIRSpec / BOTS,F290LP,G395H,2,0,2512,Transit
TOI-421 b,NIRISS / SOSS,-,GR700XD,1,12,1935,Transit
TOI-421 b,NIRSpec / BOTS,F290LP,G395M,1,12,1935,Transit
TOI-776 b,NIRSpec / BOTS,F290LP,G395H,2,0,2512,Transit
TOI-776 c,NIRSpec / BOTS,F290LP,G395H,2,0,2512,Transit
TOI-836 b,NIRSpec / BOTS,F290LP,G395H,1,0,2512,Transit
TOI-836 c,NIRSpec / BOTS,F290LP,G395H,2,0,2512,Transit
LHS 475 b,NIRSpec / BOTS,F290LP,G395H,3,0,1981,Transit
TOI-178 b,NIRSpec / BOTS,F290LP,G395M,1,12,2319,Transit
TOI-178 d,NIRSpec / BOTS,F290LP,G395M,1,12,2319,Transit
TOI-178 g,NIRSpec / BOTS,F290LP,G395M,1,12,2319,Transit
TOI-741.01,NIRCam / GTS,F444W,GRISM,3,0,1981,Transit
TRAPPIST-1 b,MIRI / Imaging,F1500W,-,5,12,1177,Eclipse
TRAPPIST-1 b,MIRI / Imaging,F1280W,-,5,12,1279,Eclipse
TRAPPIST-1 b,NIRISS / SOSS,-,GR700XD,2,0,2589,Transit
TRAPPIST-1 c,MIRI / Imaging,F1500W,-,4,12,2304,Eclipse
TRAPPIST-1 c,NIRSpec / BOTS,CLEAR,PRISM,4,0,2420,Transit
TRAPPIST-1 c,NIRISS / SOSS,-,GR700XD,2,0,2589,Transit
TRAPPIST-1 d,NIRSpec / BOTS,CLEAR,PRISM,2,12,1201,Transit
TRAPPIST-1 e,NIRSpec / BOTS,CLEAR,PRISM,4,12,1331,Transit
TRAPPIST-1 f,NIRISS / SOSS,-,GR700XD,5,12,1201,Transit
TRAPPIST-1 g,NIRSpec / BOTS,CLEAR,PRISM,2,0,2589,Transit
TRAPPIST-1 h,NIRSpec / BOTS,CLEAR,PRISM,3,0,1981,Transit
V1298 Tau b,NIRSpec / BOTS,F290LP,G395H,1,12,2149,Transit
V1298 Tau c,NIRSpec / BOTS,F290LP,G395H,1,12,2149,Transit
WASP-107 b,NIRCam / GTS,F444W,GRISM,1,12,1185,Transit
WASP-107 b,NIRCam / GTS,F322W2,GRISM,1,12,1185,Transit
WASP-107 b,NIRISS / SOSS,-,GR700XD,1,12,1201,Transit
WASP-107 b,NIRSpec / BOTS,F290LP,G395H,1,12,1201,Eclipse
WASP-107 b,NIRSpec / BOTS,F290LP,G395H,1,12,1224,Transit
WASP-107 b,MIRI / LRS,-,-,1,12,1280,Transit
WASP-121 b,NIRISS / SOSS,-,GR700XD,1,12,1201,Phase Curve
WASP-121 b,NIRSpec / BOTS,F290LP,G395H,1,12,1729,Phase Curve
WASP-127 b,NIRISS / SOSS,-,GR700XD,1,12,1201,Transit
WASP-127 b,NIRSpec / BOTS,F290LP,G395H,1,12,2437,Transit
WASP-166 b,NIRISS / SOSS,-,GR700XD,1,12,2062,Transit
WASP-166 b,NIRSpec / BOTS,F290LP,G395M,1,12,2062,Transit
WASP-17 b,MIRI / LRS,-,-,1,12,1353,Eclipse
WASP-17 b,MIRI / LRS,-,-,1,12,1353,Transit
WASP-17 b,NIRISS / SOSS,-,GR700XD,1,12,1353,Eclipse
WASP-17 b,NIRISS / SOSS,-,GR700XD,1,12,1353,Transit
WASP-17 b,NIRSpec / BOTS,F290LP,G395H,1,12,1353,Eclipse
WASP-17 b,NIRSpec / BOTS,F290LP,G395H,1,12,1353,Transit
WASP-178 b,NIRSpec / BOTS,F290LP,G395H,1,12,2055,Transit
WASP-18 b,NIRISS / SOSS,-,GR700XD,1,0,1366,Eclipse
WASP-19 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,1274,Eclipse
WASP-39 b,NIRCam / GTS,F322W2,GRISM,1,0,1366,Transit
WASP-39 b,NIRISS / SOSS,-,GR700XD,1,0,1366,Transit
WASP-39 b,NIRSpec / BOTS,F290LP,G395H,1,0,1366,Transit
WASP-39 b,NIRSpec / BOTS,CLEAR,PRISM,1,0,1366,Transit
WASP-39 b,MIRI / LRS,-,-,1,0,2783,Transit
WASP-43 b,NIRSpec / BOTS,F290LP,G395H,1,12,1224,Phase Curve
WASP-43 b,MIRI / LRS,-,-,1,0,1366,Phase Curve
WASP-52 b,NIRISS / SOSS,-,GR700XD,1,12,1201,Transit
WASP-52 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,1224,Eclipse
WASP-63 b,NIRISS / SOSS,-,GR700XD,1,12,2113,Transit
WASP-69 b,MIRI / LRS,-,-,1,12,1177,Eclipse
WASP-69 b,NIRCam / GTS,F444W,GRISM,1,12,1185,Eclipse
WASP-69 b,NIRCam / GTS,F322W2,GRISM,1,12,1185,Eclipse
WASP-77 A b,NIRSpec / BOTS,F290LP,G395H,1,12,1274,Eclipse
WASP-80 b,MIRI / LRS,-,-,1,12,1177,Transit
WASP-80 b,MIRI / LRS,-,-,1,12,1177,Eclipse
WASP-80 b,NIRCam / GTS,F444W,GRISM,1,12,1185,Transit
WASP-80 b,NIRCam / GTS,F444W,GRISM,1,12,1185,Eclipse
WASP-80 b,NIRCam / GTS,F322W2,GRISM,1,12,1185,Transit
WASP-80 b,NIRCam / GTS,F322W2,GRISM,1,12,1185,Eclipse
WASP-80 b,NIRISS / SOSS,-,GR700XD,1,12,1201,Eclipse
WASP-96 b,NIRISS / SOSS,-,GR700XD,1,0,2734,Transit
WD 1856+534 b,NIRSpec / BOTS,CLEAR,PRISM,4,12,2358,Transit
WD 1856+534 b,NIRSpec / BOTS,F290LP,G395M,1,12,2507,Eclipse
