planet_name,jwst_instrument,jwst_filter,jwst_dispersion,num_obs,eap_months,pid,type
55 Cnc e,MIRI / LRS,-,-,1,12,1952,Eclipse
55 Cnc e,NIRCam / GTS,F444W,GRISM,1,12,1952,Eclipse
55 Cnc e,NIRCam / GTS,F444W,GRISM,5,12,2084,Eclipse
GJ 1132 b,MIRI / LRS,-,-,1,12,1274,Eclipse
GJ 1132 b,NIRSpec / BOTS,F290LP,G395M,2,0,1981,Transit
GJ 1214 b,NIRSpec / BOTS,F290LP,G395H,1,12,1185,Transit
GJ 1214 b,NIRSpec / BOTS,F290LP,G395H,1,12,1185,Transit
GJ 1214 b,MIRI / LRS,-,-,1,12,1803,Phase Curve
GJ 3470 b,NIRCam / GTS,F444W,GRISM,1,12,1185,Transit
GJ 3470 b,NIRCam / GTS,F444W,GRISM,1,12,1185,Transit
GJ 3470 b,NIRSpec / BOTS,F290LP,G395H,1,12,1201,Eclipse
GJ 357 b,NIRSpec / BOTS,F290LP,G395H,1,0,2512,Transit
GJ 367 b,MIRI / LRS,-,-,1,12,2508,Phase Curve
GJ 436 b,MIRI / LRS,-,-,2,12,1177,Eclipse
GJ 436 b,NIRCam / GTS,F322W2,GRISM,3,12,1185,Eclipse
GJ 436 b,NIRCam / GTS,F444W,GRISM,3,12,1185,Eclipse
GJ 486 b,MIRI / LRS,-,-,2,12,1743,Eclipse
GJ 486 b,NIRSpec / BOTS,F290LP,G395H,2,0,1981,Transit
HAT-P-1 b,NIRISS / SOSS,-,GR700XD,1,12,1201,Transit
HAT-P-1 b,NIRISS / SOSS,-,GR700XD,1,12,1201,Eclipse
HAT-P-12 b,MIRI / LRS,-,-,1,12,1281,Transit
HAT-P-12 b,NIRISS / SOSS,-,GR700XD,1,12,1281,Transit
HAT-P-12 b,NIRSpec / BOTS,F290LP,G395M,1,12,1281,Transit
HAT-P-26 b,MIRI / LRS,-,-,1,12,1177,Transit
HAT-P-26 b,MIRI / LRS,-,-,1,12,1312,Eclipse
HAT-P-26 b,NIRISS / SOSS,-,GR700XD,1,12,1312,Transit
HAT-P-26 b,NIRSpec / BOTS,F290LP,G395H,1,12,1312,Transit
HAT-P-26 b,NIRSpec / BOTS,F290LP,G395H,1,12,1312,Eclipse
HATS-72 b,NIRISS / SOSS,-,GR700XD,1,12,2594,Transit
HATS-72 b,NIRSpec / BOTS,F290LP,G395M,1,12,2594,Transit
HD 149026 b,NIRCam / GTS,F444W,GRISM,1,12,1274,Eclipse
HD 149026 b,NIRCam / GTS,F322W2,GRISM,1,12,1274,Eclipse
HD 15337 b,NIRSpec / BOTS,F290LP,G395H,1,0,2512,Transit
HD 15337 c,NIRSpec / BOTS,F290LP,G395H,2,0,2512,Transit
HD 189733 b,NIRCam / GTS,F444W,GRISM,1,12,1185,Eclipse
HD 189733 b,NIRCam / GTS,F322W2,GRISM,1,12,1274,Eclipse
HD 189733 b,MIRI / MRS,SHORT,-,1,12,1633,Transit
HD 189733 b,MIRI / MRS,MEDIUM,-,1,12,1633,Transit
HD 189733 b,MIRI / MRS,LONG,-,1,12,1633,Transit
HD 189733 b,NIRCam / GTS,F322W2,GRISM,1,12,1633,Transit
HD 189733 b,NIRCam / GTS,F444W,GRISM,1,12,1633,Transit
HD 189733 b,MIRI / LRS,-,-,1,12,2001,Transit
HD 189733 b,MIRI / LRS,-,-,2,12,2021,Eclipse
HD 209458 b,NIRCam / GTS,F322W2,GRISM,1,12,1274,Eclipse
HD 209458 b,NIRCam / GTS,F444W,GRISM,1,12,1274,Eclipse
HD 209458 b,MIRI / LRS,-,-,1,12,2667,Transit
HD 80606 b,MIRI / LRS,-,-,1,12,2008,Phase Curve
HD 80606 b,NIRSpec / BOTS,F290LP,G395H,1,12,2488,Eclipse
HIP 67522 b,NIRSpec / BOTS,F290LP,G395H,1,12,2498,Transit
K2-141 b,NIRSpec / BOTS,F290LP,G395H,1,12,2159,Phase Curve
K2-141 b,MIRI / LRS,-,-,1,12,2347,Phase Curve
K2-18 b,NIRSpec / BOTS,F290LP,G395H,4,12,2372,Transit
K2-18 b,NIRSpec / BOTS,F170LP,G235H,2,12,2372,Transit
K2-18 b,MIRI / LRS,-,-,1,12,2722,Transit
K2-18 b,NIRISS / SOSS,-,GR700XD,1,12,2722,Transit
K2-18 b,NIRSpec / BOTS,F290LP,G395H,1,12,2722,Transit
Kepler-51 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,2454,Transit
Kepler-51 d,NIRSpec / BOTS,CLEAR,PRISM,1,12,2571,Transit
L 168-9 b,NIRSpec / BOTS,F290LP,G395H,3,0,2512,Transit
L 98-59 c,NIRISS / SOSS,-,GR700XD,1,12,1201,Transit
L 98-59 c,NIRSpec / BOTS,F290LP,G395H,2,0,2512,Transit
L 98-59 d,NIRISS / SOSS,-,GR700XD,1,12,1201,Transit
L 98-59 d,NIRSpec / BOTS,F290LP,G395H,1,12,1224,Transit
LHS 1140 b,NIRSpec / BOTS,F290LP,G395H,1,12,2334,Transit
LHS 1140 b,NIRSpec / BOTS,F170LP,G235H,1,12,2334,Transit
