planet_name,jwst_instrument,jwst_filter,jwst_dispersion,num_obs,eap_months,pid,type
GJ 3090 b,NIRSpec / BOTS,F290LP,G395H,2,0,4098,Transit
GJ 3090 b,NIRISS / SOSS,-,GR700XD,2,0,4098,Transit
GJ 3473 b,MIRI / Imaging,F1500W,-,4,0,3730,Eclipse
GJ 357 b,MIRI / Imaging,F1500W,-,1,0,3730,Eclipse
GJ 9827 d,NIRSpec / BOTS,F290LP,G395H,2,0,4098,Transit
GJ 9827 d,NIRISS / SOSS,-,GR700XD,2,0,4098,Transit
HAT-P-1 b,MIRI / LRS,-,-,1,12,2950,Transit
HAT-P-11 b,NIRSpec / BOTS,F290LP,G395H,2,12,4105,Transit
HAT-P-11 b,MIRI / LRS,-,-,1,12,2950,Transit
HAT-P-30 b,NIRSpec / BOTS,F290LP,G395H,1,12,3838,Transit
HAT-P-65 b,NIRSpec / BOTS,CLEAR,PRISM,2,12,3969,Transit 
HATS-6 b,NIRSpec / BOTS,CLEAR,PRISM,2,0,3171,Transit
HATS-75 b,NIRSpec / BOTS,CLEAR,PRISM,3,0,3171,Transit
HD 106315 c,MIRI / LRS,-,-,1,12,2950,Transit
HD 260655 b,MIRI / Imaging,F1500W,,2,0,3730,Eclipse
K2-22 b,MIRI / LRS,-,-,2,12,3315,Transit
K2-22 b,MIRI / LRS,-,-,1,12,3315,Phase Curve
KELT-7 b,NIRSpec / BOTS,F290LP,G395H,1,12,3838,Transit
Kepler-12 b,NIRSpec / BOTS,CLEAR,PRISM,2,12,3969,Transit
PH2 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,3235,Transit
TOI-270 b,MIRI / Imaging,F1500W,-,4,0,3730,Eclipse
TOI-270 d,NIRSpec / BOTS,F290LP,G395H,2,0,4098,Transit
TOI-270 d,NIRISS / SOSS,-,GR700XD,1,12,2759,Transit
TOI-270 d,NIRSpec / BOTS,F290LP,G395H,1,12,3557,Transit
TOI-270 d,NIRISS / SOSS,-,GR700XD,1,12,3557,Transit
TOI-270 d,MIRI / LRS,-,-,1,12,3557,Transit
TOI-270 d,NIRSpec / BOTS,F290LP,G395H,1,12,3818,Transit
TOI-270 d,NIRISS / SOSS,-,GR700XD,1,0,4098,Transit
L 98-59 b,NIRSpec / BOTS,F290LP,G395H,4,12,3942,Transit
L 98-59 c,MIRI / Imaging,F1500W,-,1,0,3730,Eclipse
L 98-59 d,NIRSpec / BOTS,F290LP,G395H,1,0,4098,Transit
L 98-59 d,NIRISS / SOSS,-,GR700XD,1,0,4098,Transit
LHS 1140 c,MIRI / Imaging,F1500W,-,3,0,3730,Eclipse
LHS 1478 b,MIRI / Imaging,F1500W,-,2,0,3730,Eclipse
LHS 3844 b,NIRSpec / BOTS,F290LP,G395H,1,12,4008,Phase Curve
LTT 3780 b,MIRI / Imaging,F1500W,-,2,0,3730,Eclipse
LTT 3780 c,NIRSpec / BOTS,F290LP,G395H,1,12,3557,Transit
LTT 3780 c,NIRISS / SOSS,-,GR700XD,1,12,3557,Transit
LTT 3780 c,MIRI / LRS,-,-,1,12,3557,Transit
LTT 9779 b,NIRSpec / BOTS,F290LP,G395H,1,12,3231,Phase Curve
NGTS-2 b,NIRSpec / BOTS,F290LP,G395H,1,12,3838,Transit
TOI-1130 b,NIRSpec / BOTS,F290LP,G395H,1,12,3385,Transit
TOI-1130 b,NIRISS / SOSS,-,GR700XD,1,12,3385,Transit
TOI-1130 c,NIRSpec / BOTS,F290LP,G395H,1,12,3385,Transit
TOI-1130 c,NIRISS / SOSS,-,GR700XD,1,12,3385,Transit
TOI-1231 b,NIRSpec / BOTS,F290LP,G395H,1,12,3557,Transit
TOI-1231 b,NIRISS / SOSS,-,GR700XD,1,12,3557,Transit
TOI-1231 b,MIRI / LRS,-,-,1,12,3557,Transit
TOI-125 b,NIRSpec / BOTS,F290LP,G395H,1,12,4126,Transit
TOI-125 c,NIRSpec / BOTS,F290LP,G395H,1,12,4126,Transit
TOI-1468 b,MIRI / Imaging,F1500W,-,3,0,3730,Eclipse
TOI-1468 c,NIRSpec / BOTS,F290LP,G395H,1,12,3557,Transit
TOI-1468 c,NIRISS / SOSS,-,GR700XD,1,12,3557,Transit
TOI-1468 c,MIRI / LRS,-,-,1,12,3557,Transit
TOI-1685 b,NIRSpec / BOTS,F290LP,G395H,4,12,4195,Transit
TOI-1685 b,NIRISS / SOSS,-,GR700XD,2,0,4098,Transit
TOI-1685 b,NIRSpec / BOTS,F290LP,G395H,1,12,3263,Phase Curve
TOI-1899 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,4227,Transit
TOI-2445 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,3784,Phase Curve
TOI-3235 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,3731,Transit
TOI-3714 b,NIRSpec / BOTS,CLEAR,PRISM,3,0,3171,Transit
TOI-3757 b,NIRSpec / BOTS,CLEAR,PRISM,2,0,3171,Transit
TOI-3984 A b,NIRSpec / BOTS,CLEAR,PRISM,3,0,3171,Transit
TOI-5205 b,NIRSpec / BOTS,CLEAR,PRISM,3,0,3171,Transit
TOI-5205 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,3731,Transit
TOI-5293 A b,NIRSpec / BOTS,CLEAR,PRISM,2,0,3171,Transit
TOI-561 b,NIRSpec / BOTS,F290LP,G395H,1,12,3860,Transit
TOI-824 b,NIRSpec / BOTS,F290LP,G395H,2,12,4102,Eclipse
TRAPPIST-1 b,MIRI / Imaging,F1500W,-,1,12,3077,Phase Curve
TRAPPIST-1 c,MIRI / Imaging,F1500W,-,1,12,3077,Phase Curve
TrES-4 b,NIRSpec / BOTS,F290LP,G395H,1,12,3838,Transit
WASP-121 b,MIRI / LRS,-,-,1,12,2961,Eclipse
WASP-15 b,NIRSpec / BOTS,F290LP,G395H,1,12,3838,Transit
WASP-189 b,NIRISS / SOSS,-,GR700XD,1,0,3279,Transit
WASP-47 e,NIRSpec / BOTS,F290LP,G395H,2,12,3615,Eclipse
WASP-52 b,NIRSpec / BOTS,F290LP,G395H,1,12,3969,Transit
WASP-69 b,NIRSpec / BOTS,F290LP,G395H,1,12,3712,Transit
WASP-69 b,MIRI / LRS,-,-,1,12,3712,Transit
WASP-94 A b,NIRSpec / BOTS,F290LP,G395H,1,12,3154,Transit
WASP-96 b,NIRSpec / BOTS,F290LP,G395H,1,12,4082,Transit
LHS 1140 b,NIRISS / SOSS,-,GR700XD,2,0,6543,Transit
