planet_name,jwst_instrument,jwst_filter,jwst_dispersion,type,num_obs,jwst_cycle,pid,eap_months,radius_rearth,mass_mearth,period_day,sma_au,eq-temp_kelvin,host_name,system_p-num,system_s-num,system-distance_pc,star-teff_kelvin,star-radius_rsol,star-mass_msol,star-log10-lbol_lsol,star-age_ga,star-rotvel_kms
GJ 3090 b,NIRSpec / BOTS,F290LP,G395H,Transit,2,2,4098,0,2.13,3.34,2.8531054,0.03165,693.0,GJ 3090,1,1,22.4751,3556.0,0.52,0.52,-1.342,,1.468
GJ 3090 b,NIRISS / SOSS,-,GR700XD,Transit,2,2,4098,0,2.13,3.34,2.8531054,0.03165,693.0,GJ 3090,1,1,22.4751,3556.0,0.52,0.52,-1.342,,1.468
GJ 3473 b,MIRI / Imaging,F1500W,-,Eclipse,4,2,3730,0,1.264,1.86,1.1980035,0.01589,773.0,GJ 3473,2,2,27.3644,3347.0,0.36,0.36,-1.824,,2.0
GJ 357 b,MIRI / Imaging,F1500W,-,Eclipse,1,2,3730,0,1.2,1.84,3.9306,0.036,518.0,GJ 357,3,1,9.44181,3505.0,0.34,0.34,-1.798,,2.0
GJ 9827 d,NIRSpec / BOTS,F290LP,G395H,Transit,2,2,4098,0,1.98,3.02,6.20183,0.053,675.0,GJ 9827,3,1,29.661,4236.0,0.6,0.61,-1.004,5.465,1.5
GJ 9827 d,NIRISS / SOSS,-,GR700XD,Transit,2,2,4098,0,1.98,3.02,6.20183,0.053,675.0,GJ 9827,3,1,29.661,4236.0,0.6,0.61,-1.004,5.465,1.5
HAT-P-1 b,MIRI / LRS,-,-,Transit,1,2,2950,12,14.785,166.86075,4.46529976,0.05561,1322.0,HAT-P-1,1,2,158.979,5980.0,1.17,1.15,0.225,3.6,2.2
HAT-P-11 b,NIRSpec / BOTS,F290LP,G395H,Transit,2,2,4105,12,4.901,25.0,4.88780244,0.0532,847.0,HAT-P-11,2,1,37.7647,4653.0,0.68,0.81,-0.567,6.5,0.67
HAT-P-11 b,MIRI / LRS,-,-,Transit,1,2,2950,12,4.901,25.0,4.88780244,0.0532,847.0,HAT-P-11,2,1,37.7647,4653.0,0.68,0.81,-0.567,6.5,0.67
HAT-P-30 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3838,12,16.141,263.7989,2.8106,0.0419,1630.0,HAT-P-30,1,2,213.985,6304.0,1.31,1.55,0.312,1.0,2.2
