planet_name,jwst_instrument,jwst_filter,jwst_dispersion,type,num_obs,jwst_cycle,pid,eap_months,radius_rearth,mass_mearth,period_day,sma_au,eq-temp_kelvin,host_name,system_p-num,system_s-num,system-distance_pc,star-teff_kelvin,star-radius_rsol,star-mass_msol,star-log10-lbol_lsol,star-age_ga,star-rotvel_kms
HAT-P-65 b,NIRSpec / BOTS,CLEAR,PRISM,Transit ,2,2,3969,12,18.058,176.07694,2.60544751,0.04042,1818.0,HAT-P-65,1,1,738.519,5872.0,1.67,1.3,0.473,3.9,7.1
HATS-6 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,2,2,3171,0,11.187,101.38777,3.3252725,0.03623,712.8,HATS-6,1,1,169.318,3724.0,0.57,0.57,-1.1,8.1,
HATS-75 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,3,2,3171,0,9.909,156.05375,2.7886556,0.032742,772.3,HATS-75,1,1,194.964,3790.4,0.58,0.6,-1.197,14.9,
HD 106315 c,MIRI / LRS,-,-,Transit,1,2,2950,12,4.35,15.2,21.05704,0.1536,886.0,HD 106315,2,1,109.353,6327.0,1.29,1.07,0.388,4.48,13.0
HD 260655 b,MIRI / Imaging,F1500W,,Eclipse,2,2,3730,0,1.24,2.14,2.76953,0.02933,709.0,HD 260655,2,1,10.0055,3803.0,0.44,0.44,-1.44,5.0,2.0
K2-22 b,MIRI / LRS,-,-,Transit,2,2,3315,12,2.3,444.962,0.381073,0.009,2100.0,K2-22,1,2,243.836,3879.0,0.58,0.6,-1.074,,
K2-22 b,MIRI / LRS,-,-,Phase Curve,1,2,3315,12,2.3,444.962,0.381073,0.009,2100.0,K2-22,1,2,243.836,3879.0,0.58,0.6,-1.074,,
KELT-7 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3838,12,17.934,441.7837,2.73477,0.04415,2048.0,KELT-7,1,1,136.681,6768.0,1.73,1.54,0.757,1.3,69.3
Kepler-12 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,2,2,3969,12,19.661,137.30256,4.4379629,0.0553,1480.0,Kepler-12,1,1,881.386,5947.0,1.48,1.17,0.449,4.0,0.8
L 98-59 b,NIRSpec / BOTS,F290LP,G395H,Transit,4,2,3942,12,0.85,0.4,2.2531136,0.02191,627.0,L 98-59,4,1,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
L 98-59 c,MIRI / Imaging,F1500W,-,Eclipse,1,2,3730,0,1.385,2.22,3.6906777,0.0304,553.0,L 98-59,4,1,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
L 98-59 d,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,4098,0,1.521,1.94,7.4507245,0.0486,416.0,L 98-59,4,1,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
L 98-59 d,NIRISS / SOSS,-,GR700XD,Transit,1,2,4098,0,1.521,1.94,7.4507245,0.0486,416.0,L 98-59,4,1,10.6194,3415.0,0.3,0.27,-1.948,0.8,0.0
LHS 1140 b,NIRISS / SOSS,-,GR700XD,Transit,2,2,6543,0,1.73,5.6,24.73723,0.0946,226.0,LHS 1140,2,1,14.9861,3096.0,0.22,0.18,-2.42,5.0,
LHS 1140 c,MIRI / Imaging,F1500W,-,Eclipse,3,2,3730,0,1.272,1.91,3.77794,0.027,422.0,LHS 1140,2,1,14.9861,3096.0,0.22,0.18,-2.42,5.0,
LHS 1478 b,MIRI / Imaging,F1500W,-,Eclipse,2,2,3730,0,1.242,2.33,1.9495378,0.01848,595.0,LHS 1478,1,1,18.2276,3381.0,0.25,0.24,-2.146,,2.0
LHS 3844 b,NIRSpec / BOTS,F290LP,G395H,Phase Curve,1,2,4008,12,1.303,2.25,0.46292913,0.00622,805.0,LHS 3844,1,1,14.8846,3036.0,0.19,0.15,-2.565,,
LTT 3780 b,MIRI / Imaging,F1500W,-,Eclipse,2,2,3730,0,1.325,2.46,0.76837931,0.01195,903.0,LTT 3780,2,2,21.9814,3358.0,0.38,0.38,-1.783,3.1,3.0
LTT 3780 c,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3557,12,2.39,8.04,12.252284,0.0757,359.0,LTT 3780,2,2,21.9814,3358.0,0.38,0.38,-1.783,3.1,3.0
LTT 3780 c,NIRISS / SOSS,-,GR700XD,Transit,1,2,3557,12,2.39,8.04,12.252284,0.0757,359.0,LTT 3780,2,2,21.9814,3358.0,0.38,0.38,-1.783,3.1,3.0
LTT 3780 c,MIRI / LRS,-,-,Transit,1,2,3557,12,2.39,8.04,12.252284,0.0757,359.0,LTT 3780,2,2,21.9814,3358.0,0.38,0.38,-1.783,3.1,3.0
LTT 9779 b,NIRSpec / BOTS,F290LP,G395H,Phase Curve,1,2,3231,12,4.72,29.32,0.792052,0.01679,1978.0,LTT 9779,1,1,80.4373,5443.0,0.95,0.77,-0.149,1.9,1.06
NGTS-2 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3838,12,17.878,235.1942,4.511164,0.063,1468.0,NGTS-2,1,1,356.391,6478.0,1.7,1.64,0.631,2.17,15.2
PH2 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,2,3235,12,9.337,87.08498,282.52542,0.833,295.1,PH2,1,1,343.863,5734.0,0.95,0.97,-0.058,4.1,1.43
TOI-1130 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3385,12,3.66,19.8,4.074554,0.0453,825.0,TOI-1130,2,1,58.2609,4350.0,0.7,0.74,-0.818,5.4,1.2
TOI-1130 b,NIRISS / SOSS,-,GR700XD,Transit,1,2,3385,12,3.66,19.8,4.074554,0.0453,825.0,TOI-1130,2,1,58.2609,4350.0,0.7,0.74,-0.818,5.4,1.2
TOI-1130 c,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3385,12,13.0,336.0,8.3501898,0.0731,650.0,TOI-1130,2,1,58.2609,4350.0,0.7,0.74,-0.818,5.4,1.2
TOI-1130 c,NIRISS / SOSS,-,GR700XD,Transit,1,2,3385,12,13.0,336.0,8.3501898,0.0731,650.0,TOI-1130,2,1,58.2609,4350.0,0.7,0.74,-0.818,5.4,1.2
TOI-1231 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3557,12,3.65,15.4,24.245586,0.1288,329.6,TOI-1231,1,1,27.6227,3553.0,0.48,0.49,-1.487,,
TOI-1231 b,NIRISS / SOSS,-,GR700XD,Transit,1,2,3557,12,3.65,15.4,24.245586,0.1288,329.6,TOI-1231,1,1,27.6227,3553.0,0.48,0.49,-1.487,,
TOI-1231 b,MIRI / LRS,-,-,Transit,1,2,3557,12,3.65,15.4,24.245586,0.1288,329.6,TOI-1231,1,1,27.6227,3553.0,0.48,0.49,-1.487,,
TOI-125 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,4126,12,2.726,9.5,4.65382,0.05186,1037.0,TOI-125,3,1,111.059,5320.0,0.85,0.86,-0.285,6.8,1.0
TOI-125 c,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,4126,12,2.759,6.63,9.15059,0.0814,827.8,TOI-125,3,1,111.059,5320.0,0.85,0.86,-0.285,6.8,1.0
TOI-1468 b,MIRI / Imaging,F1500W,-,Eclipse,3,2,3730,0,1.28,3.21,1.8805136,,682.2,TOI-1468,2,1,24.7399,3496.0,0.34,0.34,-1.797,,2.0
TOI-1468 c,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3557,12,2.064,6.64,15.532482,,337.5,TOI-1468,2,1,24.7399,3496.0,0.34,0.34,-1.797,,2.0
TOI-1468 c,NIRISS / SOSS,-,GR700XD,Transit,1,2,3557,12,2.064,6.64,15.532482,,337.5,TOI-1468,2,1,24.7399,3496.0,0.34,0.34,-1.797,,2.0
TOI-1468 c,MIRI / LRS,-,-,Transit,1,2,3557,12,2.064,6.64,15.532482,,337.5,TOI-1468,2,1,24.7399,3496.0,0.34,0.34,-1.797,,2.0
TOI-1685 b,NIRSpec / BOTS,F290LP,G395H,Transit,4,2,4195,12,1.468,3.03,0.66913924,0.01138,1062.0,TOI-1685,1,1,37.6153,3575.0,0.46,0.45,-1.515,1.0,2.0
TOI-1685 b,NIRISS / SOSS,-,GR700XD,Transit,2,2,4098,0,1.468,3.03,0.66913924,0.01138,1062.0,TOI-1685,1,1,37.6153,3575.0,0.46,0.45,-1.515,1.0,2.0
TOI-1685 b,NIRSpec / BOTS,F290LP,G395H,Phase Curve,1,2,3263,12,1.468,3.03,0.66913924,0.01138,1062.0,TOI-1685,1,1,37.6153,3575.0,0.46,0.45,-1.515,1.0,2.0
TOI-1899 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,2,4227,12,11.097,212.94503,29.090312,0.1525,378.0,TOI-1899,1,1,128.438,3926.0,0.61,0.63,-1.057,7.1,2.0
TOI-2445 b,NIRSpec / BOTS,CLEAR,PRISM,Phase Curve,1,2,3784,12,1.25,2.1,0.3711281,0.0064,1060.0,TOI-2445,1,1,48.582,3333.0,0.27,0.25,-2.084,,
TOI-270 b,MIRI / Imaging,F1500W,-,Eclipse,4,2,3730,0,1.206,1.58,3.3601538,0.03197,581.0,TOI-270,3,1,22.4793,3506.0,0.38,0.39,-1.712,,
TOI-270 d,NIRSpec / BOTS,F290LP,G395H,Transit,2,2,4098,0,2.133,4.78,11.379573,0.0721,387.0,TOI-270,3,1,22.4793,3506.0,0.38,0.39,-1.712,,
TOI-270 d,NIRISS / SOSS,-,GR700XD,Transit,1,2,2759,12,2.133,4.78,11.379573,0.0721,387.0,TOI-270,3,1,22.4793,3506.0,0.38,0.39,-1.712,,
TOI-270 d,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3557,12,2.133,4.78,11.379573,0.0721,387.0,TOI-270,3,1,22.4793,3506.0,0.38,0.39,-1.712,,
TOI-270 d,NIRISS / SOSS,-,GR700XD,Transit,1,2,3557,12,2.133,4.78,11.379573,0.0721,387.0,TOI-270,3,1,22.4793,3506.0,0.38,0.39,-1.712,,
TOI-270 d,MIRI / LRS,-,-,Transit,1,2,3557,12,2.133,4.78,11.379573,0.0721,387.0,TOI-270,3,1,22.4793,3506.0,0.38,0.39,-1.712,,
TOI-270 d,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3818,12,2.133,4.78,11.379573,0.0721,387.0,TOI-270,3,1,22.4793,3506.0,0.38,0.39,-1.712,,
TOI-270 d,NIRISS / SOSS,-,GR700XD,Transit,1,2,4098,0,2.133,4.78,11.379573,0.0721,387.0,TOI-270,3,1,22.4793,3506.0,0.38,0.39,-1.712,,
TOI-3235 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,2,3731,12,11.4,211.35589,2.59261842,0.02709,604.0,TOI-3235,1,1,72.811,3388.8,0.37,0.39,-1.79,,
TOI-3714 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,3,2,3171,0,11.321,222.47988,2.154849,0.027,750.0,TOI-3714,1,2,112.71,3660.0,0.51,0.53,-1.407,2.9,2.0
TOI-3757 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,2,2,3171,0,12.0,85.3,3.438753,0.03845,759.0,TOI-3757,1,1,181.139,3913.0,0.62,0.64,-1.06,7.1,2.0
TOI-3984 A b,NIRSpec / BOTS,CLEAR,PRISM,Transit,3,2,3171,0,7.9,44.0,4.353326,0.041,563.0,TOI-3984 A,1,2,108.883,3476.0,0.47,0.49,-1.574,2.9,2.0
TOI-5205 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,3,2,3171,0,11.6,343.0,1.630757,0.0199,737.0,TOI-5205,1,1,86.4493,3430.0,0.39,0.39,-1.712,,2.0
TOI-5205 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,2,3731,12,11.6,343.0,1.630757,0.0199,737.0,TOI-5205,1,1,86.4493,3430.0,0.39,0.39,-1.712,,2.0
TOI-5293 A b,NIRSpec / BOTS,CLEAR,PRISM,Transit,2,2,3171,0,11.9,170.4,2.930289,0.034,675.0,TOI-5293 A,1,2,162.229,3586.0,0.52,0.54,-1.374,2.9,2.0
TOI-561 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3860,12,1.425,2.0,0.4465688,0.0106,2310.0,TOI-561,4,1,85.799,5342.0,0.84,0.79,-0.247,11.0,2.0
TOI-824 b,NIRSpec / BOTS,F290LP,G395H,Eclipse,2,2,4102,12,2.926,18.467,1.392978,0.02177,1253.0,TOI-824,1,1,63.9262,4600.0,0.7,0.71,-0.71,7.5,2.165
TRAPPIST-1 b,MIRI / Imaging,F1500W,-,Phase Curve,1,2,3077,12,1.116,1.374,1.510826,0.01154,397.6,TRAPPIST-1,7,1,12.4298888,2566.0,0.12,0.09,-3.257,0.5,2.04
TRAPPIST-1 c,MIRI / Imaging,F1500W,-,Phase Curve,1,2,3077,12,1.097,1.308,2.421937,0.0158,339.7,TRAPPIST-1,7,1,12.4298888,2566.0,0.12,0.09,-3.257,0.5,2.04
TrES-4 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3838,12,18.046,247.9074,3.55395,0.05084,1778.0,TrES-4,1,2,515.98,6200.0,1.66,1.08,0.726,2.2,8.5
WASP-121 b,MIRI / LRS,-,-,Eclipse,1,2,2961,12,19.649,367.72747,1.27492504,0.02596,2720.0,WASP-121,1,1,269.898,6776.0,1.46,1.36,0.644,1.5,13.5
WASP-15 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3838,12,15.805,171.6282,3.7521,0.05165,1676.0,WASP-15,1,1,282.091,6300.0,1.48,1.18,0.49,2.4,4.27
WASP-189 b,NIRISS / SOSS,-,GR700XD,Transit,1,2,3279,0,18.147,632.47853,2.724033,0.05053,3353.0,WASP-189,1,1,99.731,8000.0,2.36,2.03,1.262,0.73,93.1
WASP-47 e,NIRSpec / BOTS,F290LP,G395H,Eclipse,2,2,3615,12,1.83,9.0,0.78961,0.01673,,WASP-47,4,1,264.78,5371.0,1.16,1.04,0.024,6.5,1.8
WASP-52 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3969,12,14.24,146.2,1.7497798,0.0272,1315.0,WASP-52,1,1,174.818,5008.37,0.79,0.87,-0.378,0.4,3.6
WASP-69 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3712,12,12.442,92.1707,3.86814,0.04525,963.0,WASP-69,1,1,49.9605,4700.0,0.86,0.98,-0.468,7.0,2.2
WASP-69 b,MIRI / LRS,-,-,Transit,1,2,3712,12,12.442,92.1707,3.86814,0.04525,963.0,WASP-69,1,1,49.9605,4700.0,0.86,0.98,-0.468,7.0,2.2
WASP-94 A b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,3154,12,17.71,158.915,3.95019,0.055,1604.0,WASP-94 A,2,2,211.211,6170.0,1.48,1.67,0.51,2.7,4.2
WASP-96 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,2,4082,12,13.45,152.55,3.4252602,0.0453,1285.0,WASP-96,1,1,352.464,5540.0,1.05,1.06,0.032,8.0,1.5
