planet_name,jwst_instrument,jwst_filter,jwst_dispersion,type,num_obs,jwst_cycle,pid,eap_months,radius_rearth,mass_mearth,period_day,sma_au,eq-temp_kelvin,host_name,system_p-num,system_s-num,system-distance_pc,star-teff_kelvin,star-radius_rsol,star-mass_msol,star-log10-lbol_lsol,star-age_ga,star-rotvel_kms
TOI-199 b,NIRSpec / BOTS,F290LP,G395M,Transit,1,3,5177,12,9.079,54.03083,104.854,0.4254,358.0,TOI-199,2.0,1.0,102.27,5255.0,0.82,0.94,-0.338,0.8,0.5
TOI-2076 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5959,0,2.771,16.1,10.355096,0.088,687.676490765,TOI-2076,3.0,1.0,41.9091,5192.0,0.8,0.86,-0.378,2.7,
TOI-2076 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5959,0,2.771,16.1,10.355096,0.088,687.676490765,TOI-2076,3.0,1.0,41.9091,5192.0,0.8,0.86,-0.378,2.7,
TOI-2076 c,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5959,0,3.694,55.0,21.015327,0.142,543.158366233,TOI-2076,3.0,1.0,41.9091,5192.0,0.8,0.86,-0.378,2.7,
TOI-2076 c,NIRISS / SOSS,-,GR700XD,Transit,1,3,5959,0,3.694,55.0,21.015327,0.142,543.158366233,TOI-2076,3.0,1.0,41.9091,5192.0,0.8,0.86,-0.378,2.7,
TOI-2076 d,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5959,0,3.431,29.0,35.125686,0.199,457.682045097,TOI-2076,3.0,1.0,41.9091,5192.0,0.8,0.86,-0.378,2.7,
TOI-2076 d,NIRISS / SOSS,-,GR700XD,Transit,1,3,5959,0,3.431,29.0,35.125686,0.199,457.682045097,TOI-2076,3.0,1.0,41.9091,5192.0,0.8,0.86,-0.378,2.7,
TOI-3844.01,NIRISS / SOSS,-,GR700XD,Transit,2,3,5799,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TOI-3844.01,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5799,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TOI-3884 b,NIRISS / SOSS,-,GR700XD,Transit,2,3,5863,12,6.43,32.59,4.5445828,0.0361,441.0,TOI-3884,1.0,1.0,43.1448,3180.0,0.3,0.3,-2.032,,3.59
TOI-3884 b,NIRSpec / BOTS,F290LP,G395M,Transit,2,3,5863,12,6.43,32.59,4.5445828,0.0361,441.0,TOI-3884,1.0,1.0,43.1448,3180.0,0.3,0.3,-2.032,,3.59
TOI-4010 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,3,5894,12,3.02,11.0,1.348335,0.0229,1441.0,TOI-4010,4.0,1.0,177.504,4960.0,0.83,0.88,-0.4,6.1,1.3
TOI-4010 c,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,3,5894,12,5.93,20.31,5.414654,0.058,907.0,TOI-4010,4.0,1.0,177.504,4960.0,0.83,0.88,-0.4,6.1,1.3
TOI-4010 d,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,3,5894,12,6.18,38.15,14.70886,0.113,650.0,TOI-4010,4.0,1.0,177.504,4960.0,0.83,0.88,-0.4,6.1,1.3
TOI-431 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.28,3.07,0.490047,0.0113,1862.0,TOI-431,3.0,1.0,32.5686,4850.0,0.73,0.78,-0.565,,2.5
TOI-4336.01,NIRISS / SOSS,-,GR700XD,Transit,1,3,4711,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TOI-4336.01,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,4711,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TOI-451 c,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5959,0,3.1,9.8,9.192522,0.0823,875.0,TOI-451,3.0,2.0,123.739,5550.0,0.88,0.95,-0.189,0.12,7.9
TOI-451 c,NIRISS / SOSS,-,GR700XD,Transit,1,3,5959,0,3.1,9.8,9.192522,0.0823,875.0,TOI-451,3.0,2.0,123.739,5550.0,0.88,0.95,-0.189,0.12,7.9
TOI-451 d,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5959,0,4.07,15.6,16.364988,0.1208,722.0,TOI-451,3.0,2.0,123.739,5550.0,0.88,0.95,-0.189,0.12,7.9
TOI-451 d,NIRISS / SOSS,-,GR700XD,Transit,1,3,5959,0,4.07,15.6,16.364988,0.1208,722.0,TOI-451,3.0,2.0,123.739,5550.0,0.88,0.95,-0.189,0.12,7.9
TOI-500 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.166,1.42,0.548177,0.01189,1617.0,TOI-500,4.0,1.0,47.3924,4440.0,0.68,0.74,-0.7,5.0,1.1
TOI-561 b,MIRI / LRS,-,SLITLESS,Eclipse,1,3,4818,12,1.425,2.0,0.4465688,0.0106,2310.0,TOI-561,4.0,1.0,85.799,5342.0,0.84,0.79,-0.247,11.0,2.0
TOI-700 d,NIRISS / SOSS,-, GR700XD,Transit,1,3,6193,12,1.073,1.25,37.42396,0.1633,268.8,TOI-700,4.0,1.0,31.1265,3459.0,0.42,0.42,-1.64,1.5,
TOI-700 e,NIRISS / SOSS,-, GR700XD,Transit,1,3,6193,12,0.953,0.818,27.80978,0.134,272.897605776,TOI-700,4.0,1.0,31.1265,3459.0,0.42,0.42,-1.64,1.5,
