planet_name,jwst_instrument,jwst_filter,jwst_dispersion,type,num_obs,jwst_cycle,pid,eap_months,radius_rearth,mass_mearth,period_day,sma_au,eq-temp_kelvin,host_name,system_p-num,system_s-num,system-distance_pc,star-teff_kelvin,star-radius_rsol,star-mass_msol,star-log10-lbol_lsol,star-age_ga,star-rotvel_kms
55 Cnc e,MIRI / LRS,-,-,Eclipse,1,1,1952,12,1.875,7.99,0.7365474,0.01544,1958.0,55 Cnc,5.0,2.0,12.5855,5172.0,0.94,0.91,-0.197,10.2,1.23
55 Cnc e,NIRCam / GTS,F444W,GRISM,Eclipse,1,1,1952,12,1.875,7.99,0.7365474,0.01544,1958.0,55 Cnc,5.0,2.0,12.5855,5172.0,0.94,0.91,-0.197,10.2,1.23
55 Cnc e,NIRCam / GTS,F444W,GRISM,Eclipse,5,1,2084,12,1.875,7.99,0.7365474,0.01544,1958.0,55 Cnc,5.0,2.0,12.5855,5172.0,0.94,0.91,-0.197,10.2,1.23
GJ 1132 b,MIRI / LRS,-,-,Eclipse,1,1,1274,12,1.192,1.83705,1.62892911,0.0157,583.8,GJ 1132,2.0,1.0,12.613,3229.0,0.22,0.19,-2.321,5.0,2.0
GJ 1132 b,NIRSpec / BOTS,F290LP,G395M,Transit,2,1,1981,0,1.192,1.83705,1.62892911,0.0157,583.8,GJ 1132,2.0,1.0,12.613,3229.0,0.22,0.19,-2.321,5.0,2.0
GJ 1214 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,1,1185,12,2.733,8.41,1.58040453,0.01505,567.0,GJ 1214,1.0,1.0,14.6427,3101.0,0.22,0.18,-2.409,3.0,2.0
GJ 1214 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,1,1185,12,2.733,8.41,1.58040453,0.01505,567.0,GJ 1214,1.0,1.0,14.6427,3101.0,0.22,0.18,-2.409,3.0,2.0
GJ 1214 b,MIRI / LRS,-,-,Phase Curve,1,1,1803,12,2.733,8.41,1.58040453,0.01505,567.0,GJ 1214,1.0,1.0,14.6427,3101.0,0.22,0.18,-2.409,3.0,2.0
GJ 3470 b,NIRCam / GTS,F444W,GRISM,Transit,1,1,1185,12,4.57,13.9,3.3366496,0.0355,593.5,GJ 3470,1.0,1.0,29.4214,3652.0,0.5,0.5,-1.538,1.65,
GJ 3470 b,NIRCam / GTS,F444W,GRISM,Transit,1,1,1185,12,4.57,13.9,3.3366496,0.0355,593.5,GJ 3470,1.0,1.0,29.4214,3652.0,0.5,0.5,-1.538,1.65,
GJ 3470 b,NIRSpec / BOTS,F290LP,G395H,Eclipse,1,1,1201,12,4.57,13.9,3.3366496,0.0355,593.5,GJ 3470,1.0,1.0,29.4214,3652.0,0.5,0.5,-1.538,1.65,
